CPF,Idade,Taxa,Parcela,Linhas
45870303851,18,2.00,550.00,3
24973337864,19,3.00,780.00,4
09411320997,20,1.00,350.00,5
95134000008,40,3.50,267.00,1
01020405060,54,2.50,412.00,1
25780158930,37,1.50,123.00,2
46870364820,25,5.50,715.00,2
15780384269,22,1.40,238.00,2
24973337864,31,2.20,324.00,4
45870303851,17,2.00,550.00,3
24973337864,16,3.00,780.00,4
09411320997,21,1.00,350.00,5
09411320997,41,3.50,267.00,5
09411320997,55,2.50,412.00,5
25780158930,38,1.50,123.00,2
46870364820,26,5.50,715.00,2
15780384269,23,1.40,238.00,2
24973337864,29,2.20,324.00,4
